user_id,lead_created_at,acquisition_channel,region,device_type,lead_score,company_size
U100076,2025-06-03 04:55:00,Organic,EMEA,desktop,58.0,51-200
U100077,04/15/2025 03:37,Direct,,Tablet,57.0,11 - 50
U100078,2025-04-15 15:59:00,email,EMEA,mobile ,,11 - 50
U100079,2025-02-20 01:00:00,Referral,LATAM,mobile ,66.0,
U100080,2025-02-21 17:26:00,Paid Search,EMEA,Desktop,45.0,51-200
U100081,2025-02-07 08:54:00,paid search,North America,Desktop,69.0,1-10
U100082,2025-04-22 14:19:00,Direct,APAC,Mobile,61.0,1-10
U100083,2025-03-31 21:25:00,Partner,,mobile ,55.0,
U100084,02/24/2025 08:26,Social,North America,Mobile,75.0,
U100085,2025-04-30 14:25:00,Direct,LATAM,Desktop,75.0,1-10
U100086,2025-02-08 09:17:00,Paid Search,North America,Mobile,68.0,201-1000
U100087,2025-01-31 16:50:00,Direct,APAC,desktop,73.0,201-1000
U100088,2025-04-08 18:03:00,Partner,North America,mobile ,81.0,51-200
U100089,2025-06-06 13:28:00,Organic,,mobile ,69.0,1-10
U100090,2025-01-11 20:00:00,Social,LATAM,mobile ,44.0,201-1000
U100091,05/20/2025 18:36,Paid Search,EMEA,mobile ,,11-50
U100092,2025-05-19 16:00:00,email,LATAM,Desktop,76.0,11-50
U100093,2025-02-07 04:53:00,Partner,APAC,Mobile,67.0,201-1000
U100094,2025-03-15 04:47:00,email,LATAM,mobile ,54.0,11 - 50
U100095,2025-04-19 06:07:00,Social,North America,Mobile,59.0,1-10
U100096,2025-02-15 22:13:00,Email,,Mobile,26.0,11-50
U100097,2025-04-26 14:07:00,Paid Search,LATAM,Tablet,63.0,11 - 50
U100098,06/25/2025 10:03,Email,,Mobile,54.0,
U100099,2025-06-07 03:44:00,Paid Search,EMEA,mobile ,49.0,1-10
U100100,2025-04-01 00:43:00,Social,,Tablet,60.0,11-50
U100101,2025-03-05 15:39:00,email,North America,Desktop,79.0,201-1000
U100102,2025-06-26 09:56:00,Social,EMEA,Tablet,48.0,11-50
U100103,2025-04-05 20:13:00,Direct,APAC,Desktop,61.0,11 - 50
U100104,2025-06-22 19:10:00,Paid Search,LATAM,Desktop,,11 - 50
U100105,06/21/2025 16:38,Partner,LATAM,mobile ,47.0,1-10
U100106,2025-06-04 18:12:00,Organic,APAC,Tablet,44.0,201-1000
U100107,2025-06-27 13:14:00,Organic,LATAM,Tablet,69.0,1000+
U100108,2025-05-01 11:30:00,Social,North America,Mobile,70.0,1-10
U100109,2025-03-04 06:40:00,paid search,,mobile ,49.0,1-10
U100110,2025-02-17 02:31:00,Social,EMEA,Tablet,53.0,201-1000
U100111,2025-02-28 04:22:00,Email,North America,Mobile,42.0,1000+
U100112,03/21/2025 04:30,paid search,APAC,Tablet,61.0,11 - 50
U100113,2025-02-03 02:09:00,Partner,LATAM,Desktop,32.0,1-10
U100114,2025-06-06 11:33:00,paid search,EMEA,Desktop,90.0,1000+
U100115,2025-03-21 14:55:00,Direct,North America,desktop,55.0,201-1000
U100116,2025-04-02 00:52:00,Email,APAC,mobile ,49.0,201-1000
U100117,2025-05-18 04:33:00,paid search,North America,Mobile,,
U100118,2025-06-18 14:28:00,Email,EMEA,desktop,76.0,51-200
U100119,04/17/2025 22:31,Paid Search,EMEA,Desktop,33.0,1-10
U100120,2025-05-13 04:51:00,Direct,,desktop,45.0,11 - 50
U100121,2025-05-05 17:31:00,Paid Search,,Mobile,39.0,
U100122,2025-01-21 06:16:00,Partner,LATAM,mobile ,59.0,11-50
U100123,2025-04-01 15:16:00,Organic,EMEA,Desktop,97.0,11-50
U100124,2025-03-23 17:51:00,Direct,APAC,desktop,31.0,11-50
U100125,2025-04-06 09:20:00,paid search,LATAM,Desktop,92.0,51-200
U100126,06/16/2025 06:11,Paid Search,North America,Desktop,57.0,1-10
U100127,2025-01-07 02:16:00,Partner,North America,mobile ,71.0,11-50
U100128,2025-04-29 19:36:00,Referral,North America,mobile ,39.0,
U100129,2025-01-02 18:29:00,Organic,,Desktop,43.0,51-200
U100130,2025-04-02 12:17:00,Partner,LATAM,Mobile,,
U100131,2025-05-10 13:53:00,Paid Search,,desktop,58.0,
U100132,2025-04-17 00:06:00,Partner,EMEA,Mobile,96.0,11-50
U100133,01/17/2025 20:03,Partner,North America,desktop,40.0,51-200
U100134,2025-01-06 12:04:00,Social,North America,desktop,31.0,11 - 50
U100135,2025-02-25 04:41:00,Direct,,mobile ,57.0,
U100136,2025-01-17 06:17:00,paid search,EMEA,Tablet,80.0,201-1000
U100137,2025-02-08 07:36:00,Organic,,Desktop,46.0,51-200
U100138,2025-04-22 23:49:00,Social,North America,Mobile,60.0,1-10
U100139,2025-03-14 23:51:00,Referral,EMEA,mobile ,44.0,11-50
U100140,05/06/2025 07:45,Organic,LATAM,Desktop,15.0,11 - 50
U100141,2025-01-09 20:19:00,Paid Search,North America,Mobile,86.0,51-200
U100142,2025-03-31 10:11:00,email,APAC,mobile ,100.0,201-1000
U100143,2025-02-05 16:45:00,email,APAC,Desktop,,51-200
U100144,2025-01-03 17:53:00,Email,APAC,Desktop,82.0,11-50
U100145,2025-06-20 02:13:00,Direct,LATAM,Mobile,39.0,51-200
U100146,2025-06-02 01:35:00,Referral,LATAM,Desktop,43.0,201-1000
U100147,02/11/2025 12:41,Paid Search,LATAM,mobile ,52.0,1000+
U100148,2025-02-01 18:08:00,Partner,LATAM,Desktop,56.0,1-10
U100149,2025-03-09 05:30:00,Partner,EMEA,Tablet,74.0,1-10
U100150,2025-03-10 00:17:00,Partner,APAC,Mobile,92.0,
U100151,2025-03-14 19:13:00,Organic,North America,mobile ,66.0,1000+
U100152,2025-03-30 21:34:00,Paid Search,North America,desktop,61.0,1-10
U100153,2025-03-31 22:47:00,paid search,EMEA,mobile ,69.0,
U100154,02/01/2025 10:14,Social,APAC,Desktop,29.0,1-10
U100155,2025-06-01 16:44:00,Direct,,Desktop,45.0,51-200
U100156,2025-02-19 03:05:00,Email,,Desktop,,1-10
U100157,2025-04-15 17:40:00,Partner,EMEA,mobile ,57.0,11 - 50
U100158,2025-06-07 13:42:00,Email,LATAM,Desktop,84.0,1-10
U100159,2025-03-05 04:33:00,email,LATAM,desktop,100.0,11-50
U100160,2025-04-11 20:47:00,Paid Search,North America,mobile ,60.0,201-1000
U100161,02/23/2025 05:45,Organic,,desktop,75.0,201-1000
U100162,2025-05-27 23:17:00,Direct,APAC,Tablet,55.0,201-1000
U100163,2025-01-30 05:45:00,Referral,EMEA,Mobile,37.0,11-50
U100164,2025-03-02 23:00:00,email,North America,desktop,42.0,11-50
U100165,2025-06-04 10:32:00,Direct,North America,Tablet,75.0,51-200
U100166,2025-03-25 22:38:00,Partner,North America,Tablet,50.0,1000+
U100167,2025-02-08 07:31:00,Direct,North America,Tablet,53.0,11-50
U100168,04/07/2025 00:07,Partner,,Mobile,31.0,51-200
U100169,2025-06-07 03:31:00,Paid Search,North America,Desktop,,51-200
U100170,2025-01-29 08:41:00,Paid Search,APAC,Desktop,35.0,1-10
U100171,2025-01-03 03:47:00,Direct,,desktop,46.0,11 - 50
U100172,2025-03-26 22:49:00,Referral,,Mobile,74.0,1000+
U100173,2025-02-14 02:34:00,Direct,North America,Tablet,52.0,11-50
U100174,2025-02-28 02:34:00,Email,LATAM,Desktop,67.0,1000+
U100175,02/11/2025 14:36,Partner,North America,mobile ,49.0,11 - 50
U100176,2025-02-14 02:36:00,Direct,,Desktop,53.0,201-1000
U100177,2025-05-21 21:02:00,Direct,APAC,Desktop,44.0,51-200
U100178,2025-06-15 07:48:00,Organic,APAC,Desktop,83.0,201-1000
U100179,2025-05-26 02:23:00,email,LATAM,mobile ,38.0,
U100180,2025-01-11 05:05:00,Organic,LATAM,mobile ,43.0,51-200
U100181,2025-05-06 00:02:00,Email,EMEA,desktop,71.0,1-10
U100182,05/02/2025 03:51,Social,EMEA,Mobile,,201-1000
U100183,2025-06-08 13:17:00,Partner,,Mobile,75.0,201-1000
U100184,2025-03-04 02:58:00,Social,North America,desktop,73.0,
U100185,2025-01-15 11:02:00,email,EMEA,Mobile,63.0,
U100186,2025-05-10 12:32:00,email,LATAM,Tablet,77.0,1000+
U100187,2025-05-08 04:06:00,Social,EMEA,Tablet,57.0,51-200
U100188,2025-03-01 08:30:00,Direct,EMEA,Desktop,50.0,1000+
U100189,06/05/2025 17:06,email,LATAM,desktop,52.0,11-50
U100190,2025-04-05 11:17:00,Direct,LATAM,Desktop,38.0,1-10
U100191,2025-06-03 04:33:00,Partner,EMEA,mobile ,9.0,11 - 50
U100192,2025-03-12 07:28:00,Organic,,mobile ,26.0,11 - 50
U100193,2025-05-29 08:07:00,Partner,EMEA,Mobile,51.0,
U100194,2025-03-03 09:24:00,Social,LATAM,mobile ,60.0,11-50
U100195,2025-06-10 18:54:00,paid search,LATAM,desktop,,1000+
U100196,01/05/2025 11:00,Referral,,mobile ,92.0,51-200
U100197,2025-01-08 19:56:00,paid search,LATAM,Desktop,68.0,1-10
U100198,2025-06-25 15:24:00,Organic,LATAM,desktop,81.0,51-200
U100199,2025-06-28 09:06:00,Direct,,Tablet,54.0,1-10
U100200,2025-06-27 05:26:00,paid search,EMEA,desktop,58.0,51-200
U100201,2025-04-21 04:06:00,Partner,North America,mobile ,76.0,11-50
U100202,2025-01-12 05:23:00,Paid Search,LATAM,Mobile,82.0,1-10
U100203,06/19/2025 05:54,Partner,EMEA,Mobile,73.0,1-10
U100204,2025-02-08 07:16:00,Partner,LATAM,desktop,51.0,
U100205,2025-06-28 10:43:00,Partner,North America,Tablet,83.0,201-1000
U100206,2025-03-04 23:25:00,Partner,North America,mobile ,44.0,51-200
U100207,2025-01-28 20:57:00,Partner,APAC,desktop,29.0,1-10
U100208,2025-04-08 22:12:00,Paid Search,North America,desktop,,1-10
U100209,2025-01-31 19:30:00,email,,desktop,92.0,201-1000
U100210,06/04/2025 21:45,Paid Search,EMEA,mobile ,50.0,
U100211,2025-05-25 01:25:00,Direct,,mobile ,59.0,51-200
U100212,2025-03-30 20:16:00,Email,APAC,Tablet,45.0,1000+
U100213,2025-06-17 02:33:00,Organic,LATAM,Mobile,55.0,11-50
U100214,2025-04-25 14:36:00,Paid Search,EMEA,Tablet,100.0,1000+
U100215,2025-01-03 11:48:00,Paid Search,North America,Desktop,67.0,11-50
U100216,2025-05-14 07:02:00,paid search,EMEA,desktop,56.0,
U100217,02/21/2025 09:33,Paid Search,APAC,desktop,52.0,1-10
U100218,2025-03-22 08:17:00,Email,LATAM,Tablet,100.0,201-1000
U100219,2025-06-07 23:31:00,Social,North America,Tablet,83.0,
U100220,2025-05-10 08:07:00,Paid Search,LATAM,Tablet,39.0,11 - 50
U100221,2025-02-15 13:38:00,email,,Tablet,,51-200
U100222,2025-04-06 09:02:00,Direct,APAC,mobile ,22.0,11 - 50
U100223,2025-05-28 16:55:00,Paid Search,LATAM,Tablet,100.0,11-50
U100224,03/08/2025 11:58,Email,APAC,Desktop,39.0,
U100225,2025-01-05 14:09:00,Organic,EMEA,desktop,45.0,1000+
U100226,2025-04-17 08:46:00,Partner,APAC,desktop,64.0,1000+
U100227,2025-03-29 18:37:00,paid search,APAC,Mobile,45.0,51-200
U100228,2025-04-01 18:26:00,Paid Search,LATAM,Mobile,64.0,1000+
U100229,2025-01-06 05:42:00,Email,North America,Tablet,55.0,1000+
U100230,2025-03-24 22:39:00,Direct,,mobile ,51.0,
U100231,06/08/2025 16:20,Organic,North America,Tablet,50.0,
U100232,2025-05-11 17:12:00,Referral,,mobile ,43.0,1-10
U100233,2025-04-11 04:29:00,Direct,,mobile ,100.0,201-1000
U100234,2025-02-17 12:49:00,paid search,LATAM,Tablet,,
U100235,2025-05-23 23:00:00,Partner,EMEA,Mobile,32.0,1-10
U100236,2025-01-29 04:35:00,paid search,LATAM,Mobile,63.0,1-10
U100237,2025-02-15 17:11:00,Partner,,Mobile,83.0,1-10
U100238,04/04/2025 09:50,Paid Search,APAC,Mobile,74.0,201-1000
U100239,2025-03-27 08:56:00,Email,North America,mobile ,61.0,51-200
U100240,2025-03-21 19:33:00,Referral,,desktop,84.0,201-1000
U100241,2025-03-11 11:46:00,Partner,North America,Tablet,49.0,201-1000
U100242,2025-01-31 05:39:00,Direct,,Desktop,29.0,1000+
U100243,2025-01-29 11:22:00,Organic,EMEA,desktop,64.0,51-200
U100244,2025-05-25 19:23:00,Email,,Mobile,68.0,1000+
U100245,06/11/2025 15:19,Paid Search,LATAM,Mobile,37.0,
U100246,2025-01-17 21:55:00,email,EMEA,mobile ,55.0,
U100247,2025-02-02 02:45:00,Partner,EMEA,mobile ,,11-50
U100248,2025-06-03 10:01:00,Social,EMEA,mobile ,49.0,
U100249,2025-01-09 17:58:00,Social,APAC,Desktop,39.0,51-200
U100250,2025-01-17 11:40:00,Direct,EMEA,desktop,58.0,11-50
U100251,2025-04-04 17:23:00,Partner,EMEA,desktop,68.0,11-50
U100252,01/05/2025 00:16,Referral,,mobile ,47.0,11 - 50
U100253,2025-01-07 14:04:00,Direct,,Mobile,67.0,1-10
U100254,2025-05-15 23:40:00,Social,EMEA,Desktop,61.0,51-200
U100255,2025-03-23 14:20:00,Partner,APAC,desktop,19.0,51-200
U100256,2025-03-27 13:33:00,paid search,,Desktop,59.0,51-200
U100257,2025-05-07 15:57:00,Partner,APAC,Tablet,83.0,51-200
U100258,2025-01-10 23:13:00,Social,,desktop,31.0,51-200
U100259,02/19/2025 09:52,Paid Search,APAC,Mobile,43.0,
U100260,2025-03-03 18:20:00,Partner,APAC,Mobile,,1-10
U100261,2025-01-12 04:51:00,Email,EMEA,Mobile,71.0,1-10
U100262,2025-01-23 08:38:00,Email,North America,Tablet,39.0,11 - 50
U100263,2025-02-12 04:02:00,email,APAC,mobile ,57.0,1-10
U100264,2025-05-30 12:09:00,paid search,EMEA,Tablet,61.0,1000+
U100265,2025-04-10 07:39:00,Social,EMEA,Mobile,73.0,1-10
U100266,05/12/2025 14:27,Paid Search,APAC,Desktop,63.0,
U100267,2025-06-26 09:17:00,Organic,,Desktop,43.0,201-1000
U100268,2025-05-22 09:00:00,Paid Search,APAC,Tablet,8.0,1-10
U100269,2025-04-04 16:14:00,paid search,EMEA,Tablet,61.0,51-200
U100270,2025-04-18 17:47:00,paid search,EMEA,mobile ,80.0,1-10
U100271,2025-05-08 08:44:00,paid search,EMEA,mobile ,66.0,201-1000
U100272,2025-06-28 09:39:00,Organic,LATAM,mobile ,67.0,1000+
U100273,01/29/2025 04:20,Paid Search,,Desktop,,
U100274,2025-02-21 17:37:00,Social,North America,Tablet,38.0,
U100275,2025-04-28 07:47:00,paid search,LATAM,mobile ,67.0,
U100276,2025-04-12 14:20:00,Direct,North America,Desktop,48.0,11-50
U100277,2025-02-09 22:02:00,email,LATAM,Mobile,65.0,11-50
U100278,2025-06-01 16:48:00,Organic,North America,mobile ,79.0,1-10
U100279,2025-03-29 05:11:00,paid search,LATAM,Mobile,59.0,201-1000
U100280,06/29/2025 23:37,Social,APAC,Desktop,82.0,11-50
U100281,2025-03-23 08:07:00,email,EMEA,desktop,49.0,
U100282,2025-06-29 14:49:00,Social,APAC,desktop,78.0,11-50
U100283,2025-04-21 00:55:00,Paid Search,North America,Tablet,77.0,201-1000
U100284,2025-03-15 12:41:00,Direct,APAC,Tablet,53.0,1-10
U100285,2025-06-15 01:53:00,Organic,APAC,Tablet,10.0,
U100286,2025-01-10 15:08:00,Paid Search,LATAM,desktop,,1-10
U100287,02/24/2025 14:00,email,APAC,Desktop,57.0,51-200
U100288,2025-01-01 02:52:00,Email,LATAM,Desktop,92.0,11 - 50
U100289,2025-03-31 02:20:00,Paid Search,LATAM,desktop,39.0,
U100290,2025-02-12 10:12:00,Organic,LATAM,Tablet,84.0,1-10
U100291,2025-04-28 01:23:00,Organic,North America,mobile ,41.0,
U100292,2025-04-28 17:10:00,paid search,LATAM,desktop,46.0,
U100293,2025-06-24 23:10:00,Email,North America,Mobile,31.0,11-50
U100294,03/22/2025 22:16,Email,,Mobile,69.0,1-10
U100295,2025-01-16 16:02:00,Referral,APAC,Mobile,79.0,11-50
U100296,2025-05-11 15:21:00,Social,LATAM,desktop,46.0,1000+
U100297,2025-06-12 12:40:00,email,,Mobile,56.0,51-200
U100298,2025-04-16 19:12:00,Referral,LATAM,desktop,35.0,51-200
U100299,2025-02-25 07:17:00,email,APAC,Mobile,,11 - 50
U100300,2025-05-12 00:00:00,Social,LATAM,Mobile,69.0,11 - 50
U100301,06/17/2025 01:07,Email,LATAM,Mobile,77.0,51-200
U100302,2025-02-20 23:28:00,Paid Search,,Mobile,70.0,201-1000
U100303,2025-02-01 15:03:00,Referral,,desktop,36.0,1000+
U100304,2025-03-05 11:37:00,Direct,,desktop,52.0,1000+
U100305,2025-01-17 23:39:00,Referral,LATAM,Tablet,71.0,1000+
U100306,2025-04-11 07:20:00,paid search,North America,Mobile,59.0,201-1000
U100307,2025-05-01 15:06:00,Partner,EMEA,desktop,63.0,1000+
U100308,04/21/2025 15:52,Email,North America,Tablet,47.0,201-1000
U100309,2025-01-29 19:01:00,paid search,LATAM,Mobile,57.0,51-200
U100310,2025-01-01 03:06:00,Organic,EMEA,Desktop,45.0,51-200
U100311,2025-06-26 11:41:00,Partner,EMEA,Desktop,60.0,51-200
U100312,2025-04-13 11:35:00,Paid Search,North America,desktop,,1-10
U100313,2025-03-23 17:47:00,Partner,,Tablet,48.0,
U100314,2025-04-20 15:18:00,Email,North America,mobile ,71.0,1000+
U100315,01/21/2025 18:34,Social,APAC,Tablet,46.0,
U100316,2025-03-22 03:07:00,Paid Search,EMEA,desktop,45.0,1-10
U100317,2025-04-18 21:21:00,Referral,LATAM,Desktop,37.0,201-1000
U100318,2025-01-02 06:10:00,Referral,LATAM,Mobile,66.0,
U100319,2025-01-23 08:49:00,paid search,,Desktop,82.0,1000+
U100320,2025-03-16 05:59:00,paid search,LATAM,mobile ,39.0,11-50
U100321,2025-01-13 18:09:00,Referral,,Tablet,88.0,
U100322,01/01/2025 04:56,Social,EMEA,mobile ,84.0,
U100323,2025-06-21 18:22:00,Referral,EMEA,desktop,56.0,11-50
U100324,2025-06-13 04:27:00,paid search,North America,desktop,30.0,201-1000
U100325,2025-05-27 13:23:00,Partner,EMEA,mobile ,,1-10
U100326,2025-04-02 05:18:00,Referral,APAC,mobile ,48.0,201-1000
U100327,2025-06-02 08:39:00,email,,desktop,50.0,1-10
U100328,2025-04-13 23:40:00,Organic,,Mobile,78.0,201-1000
U100329,01/23/2025 03:12,Direct,North America,desktop,58.0,
U100330,2025-02-01 16:46:00,Email,APAC,Mobile,0.0,51-200
U100331,2025-06-22 01:12:00,Partner,EMEA,Tablet,51.0,201-1000
U100332,2025-04-27 19:52:00,Paid Search,LATAM,Mobile,30.0,11 - 50
U100333,2025-04-18 05:05:00,Partner,North America,mobile ,61.0,11-50
U100334,2025-06-13 08:14:00,Partner,LATAM,Mobile,71.0,
U100335,2025-01-29 08:37:00,email,LATAM,Mobile,61.0,1000+
U100336,06/29/2025 16:21,Paid Search,LATAM,Mobile,68.0,1-10
U100337,2025-01-20 14:34:00,Social,EMEA,Tablet,66.0,1-10
U100338,2025-05-07 22:27:00,Paid Search,,mobile ,,201-1000
U100339,2025-03-25 21:10:00,Referral,North America,desktop,88.0,1-10
U100340,2025-05-19 05:15:00,Direct,APAC,Tablet,68.0,1000+
U100341,2025-03-02 22:04:00,paid search,,desktop,61.0,11 - 50
U100342,2025-04-14 05:58:00,Paid Search,APAC,Tablet,56.0,11-50
U100343,01/11/2025 07:15,Partner,,desktop,49.0,1-10
U100344,2025-04-26 06:53:00,Email,APAC,Mobile,56.0,11-50
U100345,2025-05-06 23:31:00,Partner,North America,desktop,52.0,201-1000
U100346,2025-01-15 06:55:00,Social,,mobile ,42.0,
U100347,2025-04-12 12:39:00,Direct,APAC,Tablet,94.0,51-200
U100348,2025-01-05 04:25:00,Direct,EMEA,Mobile,48.0,1000+
U100349,2025-01-17 07:54:00,Social,APAC,Mobile,61.0,201-1000
U100350,02/14/2025 01:13,Partner,North America,Desktop,74.0,11 - 50
U100351,2025-06-18 15:45:00,Social,LATAM,Mobile,,11-50
U100352,2025-05-05 14:35:00,Partner,,Desktop,52.0,
U100353,2025-02-17 09:04:00,Paid Search,APAC,mobile ,64.0,1-10
U100354,2025-02-14 11:28:00,Organic,,Mobile,38.0,51-200
U100355,2025-01-28 21:46:00,paid search,LATAM,Desktop,49.0,1000+
U100356,2025-05-21 06:53:00,Organic,North America,Tablet,40.0,11 - 50
U100357,03/31/2025 20:28,Partner,North America,Tablet,43.0,
U100358,2025-02-03 21:31:00,Referral,EMEA,desktop,57.0,
U100359,2025-02-19 10:08:00,Referral,,Tablet,58.0,11-50
U100360,2025-05-17 02:12:00,Paid Search,,Tablet,49.0,
U100361,2025-03-20 06:04:00,Organic,LATAM,Tablet,58.0,201-1000
U100362,2025-01-21 07:03:00,paid search,EMEA,Tablet,84.0,51-200
U100363,2025-01-18 11:59:00,Organic,North America,Desktop,75.0,11-50
U100364,06/06/2025 21:15,Email,,desktop,,11-50
U100365,2025-04-30 12:52:00,Social,APAC,Desktop,53.0,51-200
U100366,2025-01-07 12:55:00,Referral,EMEA,desktop,60.0,
U100367,2025-04-11 22:41:00,email,EMEA,Tablet,40.0,11-50
U100368,2025-05-06 14:44:00,email,LATAM,desktop,55.0,1000+
U100369,2025-06-24 01:23:00,Paid Search,,Tablet,54.0,1000+
U100370,2025-01-02 15:40:00,email,,Desktop,71.0,201-1000
U100371,02/10/2025 19:27,Paid Search,EMEA,Tablet,100.0,201-1000
U100372,2025-02-17 01:23:00,email,APAC,Mobile,60.0,11-50
U100373,2025-05-15 08:44:00,Partner,,Tablet,20.0,
U100374,2025-01-05 03:35:00,Partner,,Mobile,44.0,51-200
U100375,2025-03-17 07:42:00,Email,APAC,Tablet,60.0,11-50
U100376,2025-06-09 17:42:00,Paid Search,LATAM,Desktop,66.0,1-10
U100377,2025-05-20 01:11:00,email,EMEA,Mobile,,
U100378,02/12/2025 12:37,Paid Search,LATAM,mobile ,38.0,
U100379,2025-01-21 16:11:00,Paid Search,EMEA,Tablet,65.0,11 - 50
